31/12/19,Ultimo,Abertura,Maxima,Minima
30/12/19,943.5,939.25,943.5,933.88
29/12/19,939.25,928.88,940.88,927.62
27/12/19,929.38,929.5,929.5,929.38
26/12/19,929.88,937.5,941.38,928.88
25/12/19,937.5,937.88,939.88,936.88
24/12/19,937,937,937,937
23/12/19,937,933,937.62,929.12
20/12/19,933,929,937.12,927.62
19/12/19,928.12,925,929.88,924.12
18/12/19,925,927.25,929.12,921.38
17/12/19,927.25,927.75,929.88,923.38
16/12/19,927.75,920.75,930.88,920.38
13/12/19,920.75,912.88,922.62,912.88
12/12/19,907.12,897.75,916.88,897.75
11/12/19,897.75,892.25,901.62,888.38
10/12/19,892.38,900.25,901.5,891.88
09/12/19,900.25,897.25,902.12,896.38
08/12/19,897.25,891.62,903.38,889.88
06/12/19,885.62,886.12,886.12,885.62
05/12/19,889.12,885,894.12,884.62
04/12/19,885,878.25,888.62,877.62
03/12/19,878.25,872.75,879.88,871.38
02/12/19,872.75,872.5,875.62,868.38
01/12/19,872.5,877.88,882.88,867.62
29/11/19,876.62,876.62,876.62,876.62
27/11/19,876.62,884.62,884.62,876.12
26/11/19,882,884.5,887.38,881.38
25/11/19,884.5,892.25,894.88,882.88
24/11/19,892.25,898.12,902.62,892.12
22/11/19,895.62,895.75,895.75,895.62
21/11/19,895.88,900.62,903.38,895.62
20/11/19,900.25,904.5,909.12,900.25
19/11/19,904.5,911.5,915.88,904.38
18/11/19,911.5,910.25,917.12,910.12
15/11/19,910.25,919.12,921.62,910.12
14/11/19,918.12,917,923.38,915.25
13/11/19,917,915.25,917.38,910.88
12/11/19,915.25,916.75,921.38,913.62
11/11/19,916.75,917.12,919.88,915.12
08/11/19,917.25,927.88,928.88,916.12
07/11/19,930.25,936.25,938.62,926.62
06/11/19,936.25,927.5,938.38,926.62
05/11/19,927.5,934.25,935.75,927.12
04/11/19,934.25,938,940.88,932.12
01/11/19,938,935.12,942.12,932.62
31/10/19,936.5,931,938.62,930.38
30/10/19,931.75,930.62,935.38,925.12
29/10/19,931,933.12,936.88,930.38
28/10/19,932.5,935.62,940.12,931.12
25/10/19,936.5,935.5,940.12,934.38
24/10/19,922.38,933.62,937.38,919.62
23/10/19,934,933.75,938.88,932.88
22/10/19,934.75,933.88,938.62,927.88
21/10/19,934,932.88,945.12,931.12
20/10/19,933.5,931.62,939.88,930.38
18/10/19,933,933,933,933
17/10/19,933.88,930.88,938.62,930.75
16/10/19,931,927.88,940.62,927.38
15/10/19,928.5,932.75,938.38,927.62
14/10/19,933.25,938,944.12,933.25
11/10/19,939.75,941.62,945.38,930.62
10/10/19,934.38,924.12,939.12,923.62
09/10/19,922.5,919.38,933.62,918.88
08/10/19,922.25,918.88,931.38,918.5
07/10/19,919.25,915.62,923.62,910.5
04/10/19,915.75,917.12,919.62,911.62
03/10/19,915.75,911.38,921.12,909.62
02/10/19,911.75,912.75,918.62,908.12
01/10/19,913,916.88,918.62,911.88
30/09/19,918.25,904.12,919.88,903.38
27/09/19,904.25,884.62,906.62,883.88
