"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.01.2020","940,62","948,38","948,62","938,62","-","-0,57%"
"10.01.2020","946,00","942,50","946,62","935,75","-","0,37%"
"09.01.2020","942,50","946,75","954,50","939,38","-","-0,45%"
"08.01.2020","946,75","944,00","950,62","938,12","-","0,29%"
"07.01.2020","944,00","932,50","944,38","930,38","-","1,23%"
"06.01.2020","932,50","929,00","936,62","928,62","-","0,53%"
"05.01.2020","927,62","928,75","928,75","927,62","-","-0,23%"
"03.01.2020","929,75","943,25","945,38","926,75","-","-1,43%"
"02.01.2020","943,25","939,62","949,12","936,12","-","-0,03%"
"01.01.2020","943,50","943,50","943,50","943,50","-","0,00%"
"31.12.2019","943,50","939,25","943,50","933,88","-","0,45%"
